"""","かつらぎ(℃)","友ヶ島(℃)","高野山(℃)","清水(℃)","龍神(℃)","川辺(℃)","栗栖川(℃)","新宮(℃)","南紀白浜(℃)","白浜(℃)","西川(℃)"
"平成 7年(1995年)","14.2","…","10.3","13.1","12.8","…","13.6","16.7","…","16.7","14.0"
"平成12年(2000年)","14.7","16.4","11.1","13.7","13.5","16.1","14.7","17.6","…","17.2","14.9"
"平成17年(2005年)","14.6","16.1","10.7","13.7","13.1","15.7","14.5","16.6","…","16.9","14.6"
"","","","","","","","","","","",""
"平成20年(2008年)","14.6","16.3","10.8","13.9","13.1","15.8","14.7","17.3","16.9","16.9","14.7"
"平成21年(2009年)","14.8","17.1]","11.0","14.0","13.3","15.9","17.6]","17.5","17.1","17.1","14.9"
"平成22年(2010年)","15.0","15.5]","11.2","14.2","13.7","16.1","15.8]","17.7","17.3","…","15.2"
"","","","","","","","","","","",""
"平成23年(2011年)","14.5","16.1","10.7","13.6","13.1","15.6","14.5","17.2","16.8","…","14.5"
"平成24年(2012年)","14.2","16.1","10.5","13.5","12.8","15.5","14.3","16.8","16.6","…","14.3"
"平成25年(2013年)","14.8","16.4","11.0","13.9","13.4","16.0","14.8","17.5","17.0","…","14.9"
"平成26年(2014年)","14.3","16.7]","10.7","13.6","13.0","15.7","13.8]","17.1","16.8","…","14.5"
"","","","","","","","","","","",""
"2014年 1月","3.7","6.8","-0.2","2.6","2.4","5.9","…","8.0","7.3","…","4.0"
"2014年 2月","3.8","6.0","-0.4","3.3","3.3","5.9","…","8.3","7.2","…","5.2"
"2014年 3月","8.2","10.4]","4.2","7.4","6.9","9.6","…","11.6","10.9","…","8.9"
"2014年 4月","12.3","13.3","8.5","11.4","11.0","13.5","…","15.0","14.7)","…","12.4"
"2014年 5月","17.4","18.2","13.9","16.7","15.8","18.4","…","19.4","19.1","…","17.2"
"2014年 6月","21.8","22.0","18.0","20.8","19.9","21.8","…","22.1","22.4","…","20.9"
"2014年 7月","25.5","25.7","21.9","24.6","23.7","25.9","…","26.5","26.4)","…","25.1"
"2014年 8月","25.4","26.3","22.3","24.5","23.6","25.8","…","26.4","26.7","…","25.0"
"2014年 9月","21.3","23.8","17.9","20.8","19.9","22.7","21.2)","23.5","23.6","…","21.3"
"2014年10月","16.9","19.6","13.5","16.3","15.9","18.6","17.5","20.2","20.0","…","17.5"
"2014年11月","11.2","14.9","7.9","10.4","10.3","13.7","11.8","15.6","15.1","…","11.9"
"2014年12月","4.6","7.6","0.5","3.8","2.9","6.9","4.5","8.1","7.8","…","5.1"
